Vendor	Batch	FoV_Batch	Plate_Map_Name	Assay_Plate_Barcode	Modality	Images_per_well	Sites-SubSampled	Binning	Magnification	Number_of_channels	z_plane	BF_Zplanes	Anomaly
Nikon	Scope1_Nikon_20X	2siteSubSample_Scope1_Nikon_20X	JUMP-MOA_compound_platemap	BR00117062a	Widefield	9	2	1	20	4	3		none
Nikon	Scope1_Nikon_20X	2siteSubSample_Scope1_Nikon_20X	JUMP-MOA_compound_platemap	BR00117063b	Widefield	9	2	1	20	4	3		none
PE	Scope1_PE_Bin1_Confocal_1Plane	2siteSubSample_Scope1_PE_Bin1_Confocal_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_1Plane_P1	Confocal	3	2	1	20	5	3		none
PE	Scope1_PE_Bin1_Confocal_1Plane	2siteSubSample_Scope1_PE_Bin1_Confocal_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_1Plane_P2	Confocal	3	2	1	20	5	3		none
PE	Scope1_PE_Bin1_Confocal_1Plane	2siteSubSample_Scope1_PE_Bin1_Confocal_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_1Plane_P3	Confocal	3	2	1	20	5	3		none
PE	Scope1_PE_Bin1_Confocal_1Plane	2siteSubSample_Scope1_PE_Bin1_Confocal_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_1Plane_P4	Confocal	3	2	1	20	5	3		none
PE	Scope1_PE_Bin1_Confocal_3Plane	2siteSubSample_Scope1_PE_Bin1_Confocal_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_P1	Confocal	3	2	1	20	5	3		none
PE	Scope1_PE_Bin1_Confocal_3Plane	2siteSubSample_Scope1_PE_Bin1_Confocal_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_P2	Confocal	3	2	1	20	5	1		none
PE	Scope1_PE_Bin1_Confocal_3Plane	2siteSubSample_Scope1_PE_Bin1_Confocal_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_P3	Confocal	3	2	1	20	5	1		none
PE	Scope1_PE_Bin1_Confocal_3Plane	2siteSubSample_Scope1_PE_Bin1_Confocal_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_P4	Confocal	3	2	1	20	5	1		none
PE	Scope1_PE_Bin1_Widefield_1Plane	2siteSubSample_Scope1_PE_Bin1_Widefield_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_1Plane_P1	Widefield	3	2	1	20	5	1		none
PE	Scope1_PE_Bin1_Widefield_1Plane	2siteSubSample_Scope1_PE_Bin1_Widefield_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_1Plane_P2	Widefield	3	2	1	20	5	1		none
PE	Scope1_PE_Bin1_Widefield_1Plane	2siteSubSample_Scope1_PE_Bin1_Widefield_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_1Plane_P3	Widefield	3	2	1	20	5	1		none
PE	Scope1_PE_Bin1_Widefield_1Plane	2siteSubSample_Scope1_PE_Bin1_Widefield_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_1Plane_P4	Widefield	3	2	1	20	5	1		none
PE	Scope1_PE_Bin1_Widefield_3Plane	2siteSubSample_Scope1_PE_Bin1_Widefield_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_P1	Widefield	3	2	1	20	5	1		none
PE	Scope1_PE_Bin1_Widefield_3Plane	2siteSubSample_Scope1_PE_Bin1_Widefield_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_P2	Widefield	3	2	1	20	5	3		none
PE	Scope1_PE_Bin1_Widefield_3Plane	2siteSubSample_Scope1_PE_Bin1_Widefield_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_P3	Widefield	3	2	1	20	5	3		none
PE	Scope1_PE_Bin1_Widefield_3Plane	2siteSubSample_Scope1_PE_Bin1_Widefield_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_P4	Widefield	3	2	1	20	5	3		none
PE	Scope1_PE_Bin2_Confocal_1Plane	2siteSubSample_Scope1_PE_Bin2_Confocal_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixC1PlaneP1	Confocal	3	2	2	20	5	3		none
PE	Scope1_PE_Bin2_Confocal_1Plane	2siteSubSample_Scope1_PE_Bin2_Confocal_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixC1PlaneP2	Confocal	3	2	2	20	5	3		none
PE	Scope1_PE_Bin2_Confocal_1Plane	2siteSubSample_Scope1_PE_Bin2_Confocal_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixC1PlaneP3	Confocal	3	2	2	20	5	3		none
PE	Scope1_PE_Bin2_Confocal_1Plane	2siteSubSample_Scope1_PE_Bin2_Confocal_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixC1PlaneP4	Confocal	3	2	2	20	5	3		none
PE	Scope1_PE_Bin2_Confocal_3Plane	2siteSubSample_Scope1_PE_Bin2_Confocal_3Plane	JUMP-MOA_compound_platemap	CPBroadPhenixCP1	Confocal	3	2	2	20	5	3		none
PE	Scope1_PE_Bin2_Confocal_3Plane	2siteSubSample_Scope1_PE_Bin2_Confocal_3Plane	JUMP-MOA_compound_platemap	CPBroadPhenixCP2	Confocal	3	2	2	20	5	1		none
PE	Scope1_PE_Bin2_Confocal_3Plane	2siteSubSample_Scope1_PE_Bin2_Confocal_3Plane	JUMP-MOA_compound_platemap	CPBroadPhenixCP3	Confocal	3	2	2	20	5	1		none
PE	Scope1_PE_Bin2_Confocal_3Plane	2siteSubSample_Scope1_PE_Bin2_Confocal_3Plane	JUMP-MOA_compound_platemap	CPBroadPhenixCP4	Confocal	3	2	2	20	5	1		none
PE	Scope1_PE_Bin2_Widefield_1Plane	2siteSubSample_Scope1_PE_Bin2_Widefield_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixNC1PlaneP1	Widefield	3	2	2	20	5	1		none
PE	Scope1_PE_Bin2_Widefield_1Plane	2siteSubSample_Scope1_PE_Bin2_Widefield_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixNC1PlaneP2	Widefield	3	2	2	20	5	1		none
PE	Scope1_PE_Bin2_Widefield_1Plane	2siteSubSample_Scope1_PE_Bin2_Widefield_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixNC1PlaneP3	Widefield	3	2	2	20	5	1		none
PE	Scope1_PE_Bin2_Widefield_1Plane	2siteSubSample_Scope1_PE_Bin2_Widefield_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixNC1PlaneP4	Widefield	3	2	2	20	5	1		none
PE	Scope1_PE_Bin2_Widefield_3Plane	2siteSubSample_Scope1_PE_Bin2_Widefield_3Plane	JUMP-MOA_compound_platemap	CPBroadPhenixNCP1	Widefield	3	2	2	20	5	1		none
PE	Scope1_PE_Bin2_Widefield_3Plane	2siteSubSample_Scope1_PE_Bin2_Widefield_3Plane	JUMP-MOA_compound_platemap	CPBroadPhenixNCP2	Widefield	3	2	2	20	5	3		none
PE	Scope1_PE_Bin2_Widefield_3Plane	2siteSubSample_Scope1_PE_Bin2_Widefield_3Plane	JUMP-MOA_compound_platemap	CPBroadPhenixNCP3	Widefield	3	2	2	20	5	3		none
PE	Scope1_PE_Bin2_Widefield_3Plane	2siteSubSample_Scope1_PE_Bin2_Widefield_3Plane	JUMP-MOA_compound_platemap	CPBroadPhenixNCP4	Widefield	3	2	2	20	5	3		none
Yokogawa_Japan	Scope1_Yokogawa_Japan_20X	2siteSubSample_Scope1_Yokogawa_Japan_20X	JUMP-MOA_compound_platemap	20201021T092317	Confocal	9	2	1	20	5	3		none
Yokogawa_US	Scope1_Yokogawa_US_10X	2siteSubSample_Scope1_Yokogawa_US_10X	JUMP-MOA_compound_platemap	BRO0117014_10x	Confocal	4	2	1	10	6	3		none
Yokogawa_US	Scope1_Yokogawa_US_20X_5Ch	2siteSubSample_Scope1_Yokogawa_US_20X_5Ch	JUMP-MOA_compound_platemap	BRO0117033_20xb	Confocal	9	2	1	20	5	3		none
Yokogawa_US	Scope1_Yokogawa_US_20X_5Ch	2siteSubSample_Scope1_Yokogawa_US_20X_5Ch	JUMP-MOA_compound_platemap	BRO0117056_20x	Confocal	9	2	1	20	5	3		none
Yokogawa_US	Scope1_Yokogawa_US_20X_5Ch_12Z	2siteSubSample_Scope1_Yokogawa_US_20X_5Ch_12Z	JUMP-MOA_compound_platemap	BRO0117056_20xb	Confocal	9	2	1	20	5	3		none
Yokogawa_US	Scope1_Yokogawa_US_20X_6Ch_BRO0117059	2siteSubSample_Scope1_Yokogawa_US_20X_6Ch_BRO0117059	JUMP-MOA_compound_platemap	BRO0117059_20X	Confocal	9	2	1	20	6	10		none
Yokogawa_US	Scope1_Yokogawa_US_20X_6Ch_BRO01177034	2siteSubSample_Scope1_Yokogawa_US_20X_6Ch_BRO01177034	JUMP-MOA_compound_platemap	BRO01177034_20x	Confocal	9	2	1	20	6	10		none
Yokogawa_US	Scope1_Yokogawa_US_40X_BRO0117059	2siteSubSample_Scope1_Yokogawa_US_40X_BRO0117059	JUMP-MOA_compound_platemap	BRO0117059_40x	Confocal	9	2	1	40	6	10		none
MolDev	Scope1_MolDev_10X	3siteSubSample_Scope1_MolDev_10X	JUMP-MOA_compound_platemap	Plate2_PCO_6ch_4site_10XPA	Confocal	4	3	1	10	6	10		none
