,Vendor,Batch,Assay_Plate_Barcode,sphering,Percent_Replicating,value_95_replicating,Plate_Map_Name,Modality,Images_per_well,Sites-SubSampled,Binning,Magnification,Number_of_channels,z_plane,BF_Zplanes,Anomaly,Unnamed: 0,spinning-disc,aperture,dry-immersion,vs-brightfield,simultaneous-excitation,sites,Percent_Matching,value_95_matching,cell_count
55,PE,1siteSubSample_Scope1_PE_Bin2_Confocal_1Plane,CPBroadPhenixC1PlaneP3,False,44.44444444444444,0.3150791489103746,JUMP-MOA_compound_platemap,Confocal,3,1.0,2,20,5,1,,none,,,,,,,1.0,13.953488372093023,0.3666263810261416,117256
56,PE,1siteSubSample_Scope1_PE_Bin2_Confocal_1Plane,CPBroadPhenixC1PlaneP4,True,53.333333333333336,0.1781776197699561,JUMP-MOA_compound_platemap,Confocal,3,1.0,2,20,5,1,,none,,,,,,,1.0,20.930232558139537,0.2515728040096426,118483
57,PE,1siteSubSample_Scope1_PE_Bin2_Confocal_1Plane,CPBroadPhenixC1PlaneP4,False,35.55555555555556,0.343805298972811,JUMP-MOA_compound_platemap,Confocal,3,1.0,2,20,5,1,,none,,,,,,,1.0,16.27906976744186,0.3475704455003802,118483
58,PE,1siteSubSample_Scope1_PE_Bin2_Confocal_3Plane,CPBroadPhenixCP1,True,55.55555555555556,0.1521811667650468,JUMP-MOA_compound_platemap,Confocal,3,1.0,2,20,5,1,,none,,,,,,,1.0,18.6046511627907,0.2280491037368903,114632
59,PE,1siteSubSample_Scope1_PE_Bin2_Confocal_3Plane,CPBroadPhenixCP1,False,48.888888888888886,0.2501138912894962,JUMP-MOA_compound_platemap,Confocal,3,1.0,2,20,5,1,,none,,,,,,,1.0,16.27906976744186,0.3091573088800727,114632
60,PE,1siteSubSample_Scope1_PE_Bin2_Confocal_3Plane,CPBroadPhenixCP2,True,53.333333333333336,0.158229680547031,JUMP-MOA_compound_platemap,Confocal,3,1.0,2,20,5,1,,none,,,,,,,1.0,13.953488372093023,0.2182851846684695,117413
61,PE,1siteSubSample_Scope1_PE_Bin2_Confocal_3Plane,CPBroadPhenixCP2,False,6.666666666666667,0.9999947532644962,JUMP-MOA_compound_platemap,Confocal,3,1.0,2,20,5,1,,none,,,,,,,1.0,2.3255813953488373,0.99999591815379,117413
62,PE,1siteSubSample_Scope1_PE_Bin2_Confocal_3Plane,CPBroadPhenixCP3,True,54.44444444444444,0.168673322322292,JUMP-MOA_compound_platemap,Confocal,3,1.0,2,20,5,1,,none,,,,,,,1.0,18.6046511627907,0.2390136308391199,116004
63,PE,1siteSubSample_Scope1_PE_Bin2_Confocal_3Plane,CPBroadPhenixCP3,False,12.22222222222222,0.9999999366776804,JUMP-MOA_compound_platemap,Confocal,3,1.0,2,20,5,1,,none,,,,,,,1.0,2.3255813953488373,0.999999970109219,116004
64,PE,1siteSubSample_Scope1_PE_Bin2_Confocal_3Plane,CPBroadPhenixCP4,True,58.88888888888889,0.1627947005571123,JUMP-MOA_compound_platemap,Confocal,3,1.0,2,20,5,1,,none,,,,,,,1.0,16.27906976744186,0.2324510258596447,117165
65,PE,1siteSubSample_Scope1_PE_Bin2_Confocal_3Plane,CPBroadPhenixCP4,False,13.333333333333334,0.9999926799183468,JUMP-MOA_compound_platemap,Confocal,3,1.0,2,20,5,1,,none,,,,,,,1.0,2.3255813953488373,0.9999982132487684,117165
66,PE,1siteSubSample_Scope1_PE_Bin2_Widefield_1Plane,CPBroadPhenixNC1PlaneP1,True,57.77777777777777,0.1604939102938882,JUMP-MOA_compound_platemap,Widefield,3,1.0,2,20,5,1,,none,,,,,,,1.0,16.27906976744186,0.2414259437513443,113407
67,PE,1siteSubSample_Scope1_PE_Bin2_Widefield_1Plane,CPBroadPhenixNC1PlaneP1,False,42.22222222222222,0.2700378905614805,JUMP-MOA_compound_platemap,Widefield,3,1.0,2,20,5,1,,none,,,,,,,1.0,11.627906976744184,0.3190678941008142,113407
68,PE,1siteSubSample_Scope1_PE_Bin2_Widefield_1Plane,CPBroadPhenixNC1PlaneP2,True,55.55555555555556,0.1549564898112643,JUMP-MOA_compound_platemap,Widefield,3,1.0,2,20,5,1,,none,,,,,,,1.0,16.27906976744186,0.2126444884870464,116253
69,PE,1siteSubSample_Scope1_PE_Bin2_Widefield_1Plane,CPBroadPhenixNC1PlaneP2,False,46.66666666666666,0.2891581149011645,JUMP-MOA_compound_platemap,Widefield,3,1.0,2,20,5,1,,none,,,,,,,1.0,16.27906976744186,0.3209921649386628,116253
70,PE,1siteSubSample_Scope1_PE_Bin2_Widefield_1Plane,CPBroadPhenixNC1PlaneP3,True,53.333333333333336,0.1701360290391061,JUMP-MOA_compound_platemap,Widefield,3,1.0,2,20,5,1,,none,,,,,,,1.0,13.953488372093023,0.2404157201446289,115489
