,assay_plate_barcode,num_features,dropout,n_columns,sphering,percent_replicating,percent_matching
12,CPBroadPhenixNC1PlaneP1,211,"('Nuclei', 'Cytoplasm')",1188,True,51.11111111111111,20.930232558139537
13,CPBroadPhenixNC1PlaneP1,211,"('Nuclei', 'Cytoplasm')",1188,False,42.22222222222222,13.953488372093023
14,CPBroadPhenixNC1PlaneP1,11,"('Nuclei', 'Cells', 'Cytoplasm')",11,True,0.0,0.0
15,CPBroadPhenixNC1PlaneP1,11,"('Nuclei', 'Cells', 'Cytoplasm')",11,False,0.0,0.0
0,20201021T092317,494,(),3529,True,53.333333333333336,23.25581395348837
1,20201021T092317,494,(),3529,False,46.66666666666666,18.6046511627907
2,20201021T092317,359,"('Cytoplasm',)",2364,True,52.22222222222223,23.25581395348837
3,20201021T092317,359,"('Cytoplasm',)",2364,False,38.88888888888889,16.27906976744186
4,20201021T092317,349,"('Nuclei',)",2355,True,53.333333333333336,16.27906976744186
5,20201021T092317,349,"('Nuclei',)",2355,False,41.11111111111111,16.27906976744186
6,20201021T092317,414,"('Cells',)",2348,True,56.66666666666666,23.25581395348837
7,20201021T092317,414,"('Cells',)",2348,False,45.55555555555556,18.6046511627907
8,20201021T092317,213,"('Cells', 'Cytoplasm')",1184,True,52.22222222222223,18.6046511627907
9,20201021T092317,213,"('Cells', 'Cytoplasm')",1184,False,45.55555555555556,13.953488372093023
10,20201021T092317,238,"('Nuclei', 'Cells')",1176,True,52.22222222222223,18.6046511627907
11,20201021T092317,238,"('Nuclei', 'Cells')",1176,False,43.333333333333336,11.627906976744184
12,20201021T092317,213,"('Nuclei', 'Cytoplasm')",1191,True,51.11111111111111,18.6046511627907
13,20201021T092317,213,"('Nuclei', 'Cytoplasm')",1191,False,32.22222222222222,16.27906976744186
14,20201021T092317,13,"('Nuclei', 'Cells', 'Cytoplasm')",13,True,0.0,0.0
15,20201021T092317,13,"('Nuclei', 'Cells', 'Cytoplasm')",13,False,0.0,0.0
0,CP_Broad_Phenix_NC_BIN1_1Plane_P4,582,(),3529,True,56.66666666666666,23.25581395348837
1,CP_Broad_Phenix_NC_BIN1_1Plane_P4,582,(),3529,False,44.44444444444444,18.6046511627907
2,CP_Broad_Phenix_NC_BIN1_1Plane_P4,433,"('Cytoplasm',)",2364,True,58.88888888888889,23.25581395348837
3,CP_Broad_Phenix_NC_BIN1_1Plane_P4,433,"('Cytoplasm',)",2364,False,44.44444444444444,18.6046511627907
4,CP_Broad_Phenix_NC_BIN1_1Plane_P4,417,"('Nuclei',)",2355,True,57.77777777777777,16.27906976744186
5,CP_Broad_Phenix_NC_BIN1_1Plane_P4,417,"('Nuclei',)",2355,False,42.22222222222222,18.6046511627907
6,CP_Broad_Phenix_NC_BIN1_1Plane_P4,472,"('Cells',)",2348,True,58.88888888888889,23.25581395348837
7,CP_Broad_Phenix_NC_BIN1_1Plane_P4,472,"('Cells',)",2348,False,47.77777777777778,18.6046511627907
